player_id,player_name,position,team,games,fantasy_points,fantasy_points_ppr,carries,rushing_yards,rushing_tds,targets,receptions,receiving_yards,receiving_tds,completions,attempts,passing_yards,passing_tds,interceptions,snap_pct
00-0035125,Alec Ingold,RB,MIA,9,15.3,26.3,10,17.0,1,12,11,96.0,0,0,0,0.0,0,0.0,
00-0035140,Mecole Hardman,WR,KC,7,21.200000000000003,33.2,5,62.0,1,14,12,90.0,0,0,0,0.0,0,0.0,0.13749999999999998
00-0035208,Olamide Zaccheaus,WR,WAS,15,69.4,114.4,1,8.0,0,64,45,506.0,3,0,0,0.0,0,0.0,0.4495
00-0035216,Diontae Johnson,WR,HOU,11,56.1,89.10000000000001,2,6.0,0,67,33,375.0,3,0,0,0.0,0,0.0,0.5261538461538462
00-0035228,Kyler Murray,QB,ARI,17,297.24,297.24,78,572.0,5,0,0,0.0,0,372,541,3851.0,21,11.0,0.9711764705882354
00-0035229,T.J. Hockenson,TE,MIN,10,45.5,86.5,0,0.0,0,62,41,455.0,0,0,0,0.0,0,0.0,0.6127272727272728
00-0035243,Miles Sanders,RB,CAR,11,53.3,77.30000000000001,55,205.0,2,30,24,148.0,1,0,0,0.0,0,0.0,0.3336363636363636
00-0035249,Josh Oliver,TE,MIN,11,43.8,65.8,0,0.0,0,28,22,258.0,3,0,0,0.0,0,0.0,0.53625
00-0035250,Devin Singletary,RB,NYG,15,75.60000000000001,96.60000000000001,113,437.0,4,24,21,119.0,0,0,0,0.0,0,0.0,0.3893333333333333
00-0035261,Tony Pollard,RB,TEN,16,159.70000000000002,200.70000000000002,260,1079.0,5,57,41,238.0,0,0,0,0.0,0,0.0,0.678125
00-0035264,Jarrett Stidham,QB,DEN,2,0.5,0.5,4,5.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.06666666666666667
00-0035289,Gardner Minshew,QB,LV,10,96.32000000000001,96.32000000000001,19,58.0,0,0,0,0.0,0,203,306,2013.0,9,10.0,0.865
00-0035298,Scott Miller,WR,PIT,4,6.9,11.9,0,0.0,0,9,5,69.0,0,0,0,0.0,0,0.0,0.25
00-0035311,Myles Gaskin,RB,JAX,2,1.0,1.9999999999999998,3,-1.0,0,1,1,11.0,0,0,0,0.0,0,0.0,0.022000000000000002
00-0035341,Trenton Irwin,WR,CAR,4,1.5,4.5,0,0.0,0,10,3,15.0,0,0,0,0.0,0,0.0,0.2914285714285714
00-0035406,Lil'Jordan Humphrey,WR,DEN,14,33.3,64.3,0,0.0,0,45,31,293.0,1,0,0,0.0,0,0.0,0.4811111111111111
00-0035500,Greg Dortch,WR,ARI,17,53.3,90.3,5,31.0,0,50,37,342.0,3,0,0,0.0,0,0.0,0.4023529411764706
00-0035535,Darius Slayton,WR,NYG,16,71.0,110.0,2,17.0,0,71,39,573.0,2,0,0,0.0,0,0.0,0.8306250000000001
00-0035537,Ty Johnson,RB,BUF,17,73.7,91.7,41,213.0,1,25,18,284.0,3,0,0,0.0,0,0.0,0.3045
00-0035544,Tom Kennedy,WR,DET,1,0.0,0.0,0,0.0,0,1,0,0.0,0,0,0,0.0,0,0.0,0.0575
00-0035547,Joseph Fortson,TE,KC,3,0.5,1.5,0,0.0,0,3,1,5.0,0,0,0,0.0,0,0.0,0.17666666666666667
00-0035567,Craig Reynolds,RB,DET,7,17.900000000000002,20.900000000000002,31,139.0,0,5,3,40.0,0,0,0,0.0,0,0.0,0.0811111111111111
00-0035594,Travis Homer,RB,CHI,4,3.4000000000000004,6.3999999999999995,6,23.0,0,3,3,11.0,0,0,0,0.0,0,0.0,0.11600000000000002
00-0035602,Alex Bachman,WR,LV,1,3.1,6.1,0,0.0,0,3,3,31.0,0,0,0,0.0,0,0.0,
00-0035628,D'Ernest Johnson,RB,JAX,12,23.900000000000002,35.9,32,143.0,0,19,12,96.0,0,0,0,0.0,0,0.0,0.2292857142857143
00-0035631,Drew Sample,TE,CIN,11,16.5,36.5,1,-4.0,0,22,20,109.0,1,0,0,0.0,0,0.0,0.571764705882353
00-0035639,Parris Campbell,WR,PHI,4,9.0,15.0,0,0.0,0,8,6,30.0,1,0,0,0.0,0,0.0,0.3225
00-0035640,DK Metcalf,WR,SEA,15,125.2,191.2,0,0.0,0,108,66,992.0,5,0,0,0.0,0,0.0,0.86
