player_id,player_name,red_zone_touches,goal_line_touches,total_touches,red_zone_share,goal_line_share
00-0030578,C.Patterson,4.0,2.0,47.0,0.0851063829787234,0.0425531914893617
00-0039810,J.Burton,4.0,0.0,14.0,0.2857142857142857,0.0
00-0030431,R.Woods,4.0,1.0,34.0,0.11764705882352941,0.029411764705882353
00-0034771,M.Rudolph,4.0,0.0,25.0,0.16,0.0
00-0036971,T.Lawrence,4.0,3.0,26.0,0.15384615384615385,0.11538461538461539
00-0039355,L.McCaffrey,4.0,1.0,26.0,0.15384615384615385,0.038461538461538464
00-0037005,T.Tremble,4.0,1.0,32.0,0.125,0.03125
00-0037594,J.Chestnut,4.0,1.0,25.0,0.16,0.04
00-0038705,E.Demercado,4.0,0.0,44.0,0.09090909090909091,0.0
00-0038573,D.Davis,4.0,0.0,31.0,0.12903225806451613,0.0
00-0038783,N.Adkins,4.0,1.0,15.0,0.26666666666666666,0.06666666666666667
00-0031280,D.Carr,4.0,3.0,17.0,0.23529411764705882,0.17647058823529413
00-0038640,J.Brooks,4.0,1.0,30.0,0.13333333333333333,0.03333333333333333
00-0033119,J.Brissett,3.0,1.0,15.0,0.2,0.06666666666666667
00-0035631,D.Sample,3.0,2.0,23.0,0.13043478260869565,0.08695652173913043
00-0039796,R.Ali,3.0,0.0,12.0,0.25,0.0
00-0031941,J.Crowder,3.0,0.0,18.0,0.16666666666666666,0.0
00-0036183,K.Wilkerson,3.0,0.0,3.0,1.0,0.0
00-0032464,K.Raymond,3.0,0.0,27.0,0.1111111111111111,0.0
00-0029604,K.Cousins,3.0,0.0,23.0,0.13043478260869565,0.0
00-0038824,R.Miller,3.0,1.0,20.0,0.15,0.05
00-0039041,E.Higgins,3.0,1.0,24.0,0.125,0.041666666666666664
00-0039880,M.Washington,3.0,0.0,41.0,0.07317073170731707,0.0
00-0031763,D.Carter,3.0,0.0,14.0,0.21428571428571427,0.0
00-0035993,T.Huntley,3.0,1.0,26.0,0.11538461538461539,0.038461538461538464
00-0037292,A.Ogletree,3.0,0.0,14.0,0.21428571428571427,0.0
00-0037300,M.Woods,3.0,0.0,17.0,0.17647058823529413,0.0
00-0037741,J.Dotson,3.0,0.0,39.0,0.07692307692307693,0.0
00-0037805,J.Ruckert,3.0,0.0,28.0,0.10714285714285714,0.0
00-0031503,J.Winston,3.0,1.0,25.0,0.12,0.04
00-0039236,J.Wilson,3.0,1.0,16.0,0.1875,0.0625
00-0036345,K.Osborn,3.0,0.0,18.0,0.16666666666666666,0.0
00-0036628,J.Bates,3.0,2.0,18.0,0.16666666666666666,0.1111111111111111
00-0033949,J.Dobbs,3.0,1.0,9.0,0.3333333333333333,0.1111111111111111
00-0036898,D.Mills,3.0,0.0,3.0,1.0,0.0
