player_name,team,position,pos_rank_label,ecr_rank,adp,rank_min,rank_max,rank_std,bye_week,owned_avg_pct
Jerry Jeudy,CLE,WR,WR60,159,165.21,128,268,26.58,11,27.7
Los Angeles Rams,LAR,DEF,DST3,169,167.24,148,186,7.34,11,86.9
Seattle Seahawks,SEA,DEF,DST4,170,167.45,151,194,5.19,11,96.4
Tank Bigsby,PHI,RB,RB53,155,168.53,127,228,22.21,10,26.8
Bryce Young,CAR,QB,QB26,156,168.94,134,328,29.46,5,23.3
Adonai Mitchell,NYJ,WR,WR61,160,170.71,129,287,26.61,13,14.9
Jalen McMillan,TB,WR,WR63,163,171.57,126,293,26.36,10,23.7
Tre Tucker,LV,WR,WR62,161,173.26,121,289,29.20,13,19.5
Dalton Schultz,HOU,TE,TE20,162,173.44,111,236,25.96,8,23.9
Brian Robinson Jr.,ATL,RB,RB54,164,173.48,130,234,19.27,11,33.6
Braelon Allen,NYJ,RB,RB55,165,173.95,118,275,31.16,13,18.9
Philadelphia Eagles,PHI,DEF,DST5,174,174.93,156,235,9.33,10,85.0
Travis Hunter,JAC,WR,WR66,171,178.11,100,269,34.10,7,65.8
Tre' Harris,LAC,WR,WR64,167,179.15,126,277,26.57,7,11.6
Omar Cooper Jr.,NYJ,WR,WR65,168,180.52,126,307,39.12,13,27.2
Ryan Flournoy,DAL,WR,WR68,177,183.81,137,331,28.68,14,11.0
New England Patriots,NE,DEF,DST7,185,185.09,160,225,8.62,11,82.6
Brandon Aubrey,DAL,K,K1,181,185.86,139,193,6.16,14,99.3
Minnesota Vikings,MIN,DEF,DST8,186,185.86,164,252,12.40,6,62.8
Pittsburgh Steelers,PIT,DEF,DST6,183,187.28,161,239,8.93,9,67.2
Jalen Nailor,LV,WR,WR67,175,187.78,126,305,38.67,13,26.7
Oronde Gadsden II,LAC,TE,TE21,172,189.52,97,259,41.30,7,39.6
Jacksonville Jaguars,JAC,DEF,DST9,188,190.1,151,280,17.23,7,68.5
Malik Washington,MIA,WR,WR69,178,190.88,116,313,38.12,6,15.0
T.J. Hockenson,MIN,TE,TE22,173,191.19,138,246,22.86,6,49.4
Ka'imi Fairbairn,HOU,K,K3,196,192.4,170,212,4.22,8,91.5
Los Angeles Chargers,LAC,DEF,DST10,191,192.58,171,280,15.26,7,44.6
Jacoby Brissett,ARI,QB,QB27,176,192.72,129,340,40.63,14,16.4
Pat Bryant,DEN,WR,WR71,182,193.93,137,298,33.22,10,8.6
Dontayvion Wicks,PHI,WR,WR70,179,195.11,133,262,32.02,10,9.9
Ray Davis,BUF,RB,RB56,180,195.41,142,294,34.53,7,12.3
Cameron Dicker,LAC,K,K2,195,195.54,167,333,15.46,7,97.2
Jaylin Noel,HOU,WR,WR72,187,197.06,137,346,34.17,8,7.1
Emmett Johnson,KC,RB,RB59,192,198.45,146,322,37.98,5,18.3
Sean Tucker,TB,RB,RB58,189,198.48,141,284,32.98,10,10.8
Cam Little,JAC,K,K4,198,198.52,168,253,9.24,7,90.2
MarShawn Lloyd,GB,RB,RB57,184,199.3,122,327,52.21,11,13.2
