player_name,team,position,adp,ecr_rank,bye_week,player_id,games,fantasy_points,fantasy_points_ppr,carries,rushing_yards,rushing_tds,targets,receptions,receiving_yards,receiving_tds,completions,attempts,passing_yards,passing_tds,interceptions,snap_pct,value_score,ppg,rushing_ppg,snap_share,volume,efficiency,receiving_ppg,td_rate,position_rank,adp_position_rank,value_gap
Justin Jefferson,MIN,WR,9.1,8,6.0,00-0036322,17.0,214.48,317.48,1.0,3.0,0.0,154.0,103.0,1533.0,10.0,1.0,1.0,22.0,0.0,0.0,0.931111111111111,1.146058813532982,18.623529411764707,0.017647058823529415,0.931111111111111,9.117647058823529,2.0425806451612907,18.605882352941176,0.06451612903225806,6,6,0
Tee Higgins,CIN,WR,36.29,34,6.0,00-0036410,12.0,149.1,222.1,0.0,0.0,0.0,109.0,73.0,911.0,10.0,0.0,0.0,0.0,0.0,0.0,0.7908333333333334,1.110458764751268,18.675,0.0,0.7908333333333334,9.083333333333334,2.0559633027522937,18.675,0.09174311926605505,7,19,12
Jameson Williams,DET,WR,54.94,54,6.0,00-0037240,15.0,154.20000000000002,212.2,11.0,61.0,1.0,91.0,58.0,1001.0,7.0,0.0,0.0,0.0,0.0,0.0,0.800625,0.9870464602746628,14.146666666666668,0.8066666666666668,0.800625,6.8,2.0803921568627453,13.340000000000002,0.0784313725490196,8,27,19
Stefon Diggs,WAS,WR,100.53,108,7.0,00-0031588,8.0,74.92,121.92,3.0,8.0,1.0,64.0,47.0,496.0,3.0,1.0,1.0,13.0,0.0,0.0,0.7837500000000001,0.9812541209266487,15.174999999999999,0.85,0.7837500000000001,8.375,1.8119402985074626,14.325,0.05970149253731343,9,43,34
A.J. Brown,NE,WR,13.94,12,11.0,00-0035676,13.0,149.9,216.9,0.0,0.0,0.0,97.0,67.0,1079.0,7.0,0.0,0.0,0.0,0.0,0.0,0.878235294117647,0.9756902877487792,16.684615384615384,0.0,0.878235294117647,7.461538461538462,2.236082474226804,16.684615384615384,0.07216494845360824,10,8,-2
Mike Evans,SF,WR,54.18,51,8.0,00-0031408,14.0,166.4,240.4,0.0,0.0,0.0,110.0,74.0,1004.0,11.0,0.0,0.0,0.0,0.0,0.0,0.722,0.9642719712878293,17.17142857142857,0.0,0.722,7.857142857142857,2.1854545454545455,17.17142857142857,0.1,11,26,15
Brian Thomas Jr.,JAC,WR,75.79,72,7.0,00-0039893,17.0,197.0,284.0,6.0,48.0,0.0,133.0,87.0,1282.0,10.0,0.0,0.0,0.0,0.0,0.0,0.7935294117647059,0.9557765900936369,16.47058823529412,0.28235294117647064,0.7935294117647059,8.176470588235293,2.0143884892086334,16.18823529411765,0.07194244604316546,12,33,21
CeeDee Lamb,DAL,WR,8.85,7,14.0,00-0036358,15.0,162.4,263.40000000000003,14.0,70.0,0.0,152.0,101.0,1194.0,6.0,0.0,0.0,0.0,0.0,0.0,0.8019999999999999,0.9526711904108692,17.56,0.4666666666666667,0.8019999999999999,11.066666666666666,1.586746987951807,17.09333333333333,0.03614457831325301,13,5,-8
Terry McLaurin,WAS,WR,46.03,45,7.0,00-0035659,17.0,185.8,267.8,2.0,2.0,0.0,117.0,82.0,1096.0,13.0,0.0,0.0,0.0,0.0,0.0,0.8125,0.9472941115232476,15.870588235294118,0.011764705882352941,0.8125,7.0,2.2672268907563025,15.858823529411765,0.1092436974789916,14,22,8
Jordan Addison,MIN,WR,106.3,105,6.0,00-0038994,15.0,149.5,212.5,3.0,20.0,1.0,99.0,63.0,875.0,9.0,0.0,0.0,0.0,0.0,0.0,0.82375,0.9343974987248389,14.166666666666666,0.5333333333333333,0.82375,6.8,2.0833333333333335,13.633333333333333,0.09803921568627451,15,46,31
